case,seed,GWO,PSO,SGO,WOA
F4,3,24.098949129179346,36.39843926581668,41.507579866435655,34.5589275790097
F4,4,36.76576338023661,25.39994813075047,42.21898250550884,25.18633358111457
F4,5,10.7791841658132,14.344425539004414,46.906354533919725,31.861296232081973
F4,6,12.670289040727964,18.70232365071772,41.45013789060916,27.45338396976946
F4,7,25.70373477707874,20.83343342462432,44.45510536805791,20.09057170616572
F4,8,36.87619712172141,26.242209034549845,39.625111994662426,27.87221878765601
F4,9,19.536786636860924,21.288615284196037,43.31323787533695,31.358943821243457
F4,10,27.75090441861345,17.303011466160118,40.03161384978448,30.71229208285272
F4,11,20.177975930076208,15.474508578015948,44.6826879078454,26.889095636203034
F4,12,31.65313367047265,18.00192972393307,31.238725400589125,22.18995285793581
F4,13,14.52951752256989,16.594260494496677,32.75067904021913,23.26869444237053
F4,14,27.246217640677852,15.32152182592888,36.42097109780545,29.71912441045789
F4,15,30.271520788672262,18.770403226256057,35.9380867361525,28.10313922932241
F4,16,30.0781616532284,96.38178754166655,46.96724181539885,26.81489885527836
F4,17,17.155085023460984,9.88338322759322,42.742755445521134,28.105703539126136
F4,18,24.37440073008901,36.69589295635951,44.89446659995928,23.482434430114683
F4,19,21.41771570737066,15.763943889576316,26.49391014050551,27.437082398592583
F4,20,25.18152078239406,34.10288295052022,31.1235018148124,27.112438131132983
F4,21,28.048070251904345,18.3117674048103,25.64785878802121,21.88986189289529
F4,22,13.723470489431763,42.56697013539022,42.84189497920018,22.92067425001207
F4,23,33.12593334180317,15.670484581612644,43.52102620818357,32.69001368514034
F4,24,27.461569212913155,23.981911056944465,36.20265963577694,36.0582936713971
F4,25,29.028667317534637,26.84969197786813,41.51016959613624,24.63540155939223
F4,26,38.13261738780576,16.70142449951675,44.552831392830434,34.91290744495757
F4,27,29.330544657259853,16.63554820541929,42.73489100266703,25.660728052517687
F4,28,22.49516542298087,12.663181634961898,31.27020206212694,25.980925702065235
F4,29,13.05806901892674,15.98194055643248,48.00591260930096,24.251846115055837
F4,30,23.11366131480357,17.653724312544444,38.56217935932242,25.93983463388133
F4,31,37.1294952200922,25.980003732825057,46.0436601549068,29.847986303203623
F5,1,22.642447941932016,15.474713232238196,39.97338197163148,21.65381756290724
F5,2,24.624008082541017,15.531089593451556,30.20213937010889,26.68861787172115
F5,3,34.16107073238745,38.8321172289561,38.65728473202724,24.754272702770194
F5,4,26.296029728793933,12.878561061438443,44.02623643499514,24.817493611119037
F5,5,34.50803037372802,19.246995304070435,34.56759515311907,25.82197420132941
