case,seed,alg,mode,environment,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,recovery_evals_50,recovery_success_50,recovery_evals_90,recovery_success_90
F2,3,SGO,cold_restart,45,54.32504280082254,25.616617783185283,27.4736757229907,28.708425017637254,0.5284565558998985,147,True,515,True
F2,3,SGO,cold_restart,46,109.3763797347054,24.19437490618335,26.249574860195583,85.18200482852205,0.7787970769843793,2,True,457,True
F2,3,SGO,cold_restart,47,142.85775133622997,13.510433061080796,18.44182841631605,129.34731827514918,0.9054273713907015,20,True,770,True
F2,3,SGO,cold_restart,48,131.20728092240398,23.445577612769014,25.00866115903949,107.76170330963497,0.821308867557169,2,True,53,True
F2,3,SGO,cold_restart,49,130.88554926906622,3.313834286349504,5.404025099215778,127.57171498271671,0.9746814350029037,4,True,141,True
F2,3,SGO,cold_restart,50,60.64398036058136,20.627651159191146,22.408269240910624,40.016329201390214,0.6598565754335094,35,True,360,True
F2,3,SGO,cold_restart,51,107.38295922403938,37.817317865052,38.25863334638215,69.56564135898739,0.647827568374685,5,True,79,True
F2,3,SGO,cold_restart,52,198.92680260401158,19.84964946749524,21.601455762956604,179.07715313651636,0.9002163147064279,3,True,121,True
F2,3,SGO,cold_restart,53,149.97679582393255,25.11018548515861,28.450642578607273,124.86661033877394,0.8325728633738977,2,True,365,True
F2,3,SGO,cold_restart,54,125.50659265608155,35.83541498805704,38.18886080984806,89.67117766802451,0.7144738437266419,8,True,325,True
F2,3,SGO,cold_restart,55,107.30711491281113,2.879537294310296,6.263060470634958,104.42757761850083,0.9731654578855282,9,True,357,True
F2,3,SGO,cold_restart,56,142.36086478628994,26.288896591803535,28.037418222910073,116.0719681944864,0.815336211737207,4,True,18,True
F2,3,SGO,cold_restart,57,155.44842677096972,13.577596434316732,16.031509396085195,141.870830336653,0.9126552985041058,7,True,126,True
F2,3,SGO,cold_restart,58,132.3185660749736,19.377594135789806,21.842447751648827,112.9409719391838,0.8535534754449335,2,True,43,True
F2,3,SGO,cold_restart,59,167.3269511155426,7.715175194975195,9.875898879233937,159.61177592056742,0.9538916167208012,2,True,278,True
F2,3,SGO,cold_restart,60,115.93376869159158,11.536338182177438,13.591579744150991,104.39743050941414,0.9004919937273276,6,True,485,True
F2,3,SGO,cold_restart,61,119.99511454912906,21.905427539850784,23.991523932351388,98.08968700927826,0.8174473384007467,16,True,200,True
F2,3,SGO,cold_restart,62,111.09689148817097,25.660661020731155,27.495980431254623,85.43623046743981,0.7690244913516471,4,True,347,True
F2,3,SGO,cold_restart,63,202.93781999434765,29.675953966605576,31.168458258111052,173.2618660277421,0.8537682430636531,2,True,134,True
F2,3,SGO,cold_restart,64,145.5457509488195,9.024832124660534,11.389736340118034,136.52091882415897,0.9379931597739734,5,True,243,True
F2,3,SGO,cold_restart,65,143.27934424873638,46.84467079509126,50.00921252822038,96.43467345364512,0.6730535651128624,11,True,65,True
F2,3,SGO,cold_restart,66,51.09968539509307,23.80373935364623,26.30233268160586,27.29594604144684,0.5341705302175496,250,True,809,True
F2,3,SGO,cold_restart,67,132.54256173525502,17.927949385593706,23.733813626408597,114.61461234966131,0.8647381705100615,5,True,895,True
F2,3,SGO,cold_restart,68,123.71575098478846,23.00339425550746,26.179186033249977,100.712356729281,0.8140625258109951,5,True,825,True
F2,3,SGO,cold_restart,69,65.89699368295582,12.263719808156246,16.118120788650828,53.63327387479958,0.81389561006137,108,True,1270,True
F2,3,SGO,cold_restart,70,161.80447698631855,31.80489896844285,33.522890619148455,129.9995780178757,0.8034362240104634,4,True,96,True
F2,3,SGO,cold_restart,71,91.10196406706271,19.97152027699414,21.64875743873171,71.13044379006857,0.7807783785836654,56,True,162,True
F2,3,SGO,cold_restart,72,143.3285540950522,20.908365656284033,23.318013652169576,122.42018843876816,0.8541228174086087,6,True,402,True
F2,3,SGO,cold_restart,73,182.18649717316794,13.809429889035215,15.428611224173812,168.37706728413272,0.9242016828727467,3,True,51,True
F2,3,SGO,cold_restart,74,164.45022335504473,29.29553762105499,30.747210852667862,135.15468573398974,0.8218577206927441,6,True,136,True
F2,3,SGO,cold_restart,75,177.31865215731574,19.72733473335714,21.239351389782044,157.5913174239586,0.8887464206762907,2,True,143,True
F2,3,SGO,cold_restart,76,150.24363720795364,15.293257600973611,16.595506844518376,134.95037960698002,0.8982102810796169,5,True,124,True
F2,3,SGO,cold_restart,77,115.36176316915798,10.100148334769997,15.30225314269636,105.26161483438798,0.9124480412113684,8,True,1114,True
F2,3,SGO,cold_restart,78,166.81143188834133,26.11832692642021,28.919295922140567,140.6931049619211,0.8434260372280536,2,True,49,True
F2,3,SGO,cold_restart,79,88.19819468104743,13.237020474983368,15.137432613528741,74.96117420606406,0.8499173308155272,9,True,580,True
F2,3,SGO,cold_restart,80,139.8994001703624,24.79137776837331,26.31790653110902,115.1080224019891,0.8227913933999458,19,True,35,True
F2,3,SGO,cold_restart,81,132.4366207024926,5.248919434311034,7.268571249451551,127.18770126818157,0.9603665556666364,4,True,138,True
F2,3,SGO,cold_restart,82,132.3381893634895,6.597638638808178,11.508007516704224,125.74055072468133,0.9501456180521963,23,True,553,True
F2,3,SGO,cold_restart,83,204.98639425130256,10.854221252773094,15.004891736077191,194.13217299852946,0.9470490649273707,8,True,299,True
F2,3,SGO,cold_restart,84,74.21752238151342,20.101203269825383,24.892303408312465,54.116319111688036,0.7291582550210229,65,True,2672,True
F2,3,SGO,cold_restart,85,97.18658110715151,16.230506446745608,19.681028719129134,80.9560746604059,0.832996425413392,58,True,677,True
F2,3,SGO,cold_restart,86,173.12549240631927,22.971819413944942,25.163410910066112,150.1536729923743,0.8673111677855568,5,True,17,True
F2,3,SGO,cold_restart,87,149.39091021692633,26.49802189538414,28.219388070685785,122.89288832154219,0.8226262772152126,6,True,157,True
