case,alg,mode,seed,end_error,post_change_error,recovery_frac_50,recovery_frac_90,late_half_fraction,mean_population_diversity
F10,GWO,previous_best_seeded,6,20.432797879344424,36.77532706056682,0.8055163265306122,0.926291836734694,0.9094768503792848,0.087238955664772
F10,GWO,previous_best_seeded,7,26.36616759128798,47.69726283154212,0.8225252525252525,0.915959595959596,0.921157512811627,0.08742639748247093
F10,GWO,previous_best_seeded,8,25.90087121269287,47.16978834207793,0.6793714285714286,0.892173469387755,0.7496722455573721,0.08217746272649416
F10,GWO,previous_best_seeded,9,33.380967618717925,61.826795993199,0.6344081632653061,0.8857755102040816,0.7111552433697802,0.08774223271382083
F10,GWO,previous_best_seeded,10,33.73316938230906,59.99585170251657,0.6892909090909091,0.8974121212121212,0.7697179955462525,0.08684729399399573
F10,GWO,previous_best_seeded,11,37.303189857678944,58.24315076937851,0.7261313131313132,0.9039070707070708,0.8615457608046257,0.08716317255121149
F10,GWO,previous_best_seeded,12,31.871582638178,55.37473927751256,0.6724626262626263,0.8913636363636364,0.8028128357392075,0.07828107937348677
F10,GWO,previous_best_seeded,13,44.232649589487416,99.91139729368415,0.335934693877551,0.7707775510204081,0.38223233772717297,0.0833189252942106
F10,GWO,previous_best_seeded,14,42.64660444674403,85.11879168080173,0.518991836734694,0.8067122448979592,0.5871312819437052,0.08673745423029561
F10,GWO,previous_best_seeded,15,25.952691425509904,42.39560314612506,0.7974326530612245,0.9181673469387756,0.9504480551854215,0.08480332101475153
F10,GWO,previous_best_seeded,16,34.12628078606557,59.60742093161647,0.7022102040816326,0.8858183673469388,0.8610116513681177,0.08965271009275083
F10,GWO,previous_best_seeded,17,40.23608764575595,67.76529142517771,0.540669387755102,0.8674918367346939,0.5980367081819996,0.07597308850366272
F10,GWO,previous_best_seeded,18,21.26160492570296,34.43644218598201,0.8404551020408163,0.9440020408163265,0.9823042662396999,0.08878746489670594
F10,GWO,previous_best_seeded,19,38.433760077524454,88.20199398841541,0.4495142857142857,0.7799163265306122,0.47580456659409814,0.08125426230449631
F10,GWO,previous_best_seeded,20,42.294946154853854,88.6176252403531,0.3520808080808081,0.7500404040404041,0.376406656096344,0.07980670754818288
F10,GWO,previous_best_seeded,21,32.10092580505391,50.60094661803604,0.7900041666666667,0.9287979166666666,0.9049128790152322,0.08841020461076766
F10,GWO,previous_best_seeded,22,41.911814619263765,94.19494463102755,0.5096808080808081,0.8055939393939394,0.6028379208354057,0.08386241010751318
F10,GWO,previous_best_seeded,23,52.17322762239105,99.7771329069577,0.3081298969072165,0.7277360824742268,0.35550193962305704,0.07506365860338013
F10,GWO,previous_best_seeded,24,40.85988888998278,75.49170208328042,0.547739393939394,0.8409595959595959,0.648110510051555,0.08170769075100139
F10,GWO,previous_best_seeded,25,47.8002786859046,106.93733545774782,0.35741212121212124,0.7198666666666667,0.36184769926114324,0.0835370000160173
F10,GWO,previous_best_seeded,26,30.029663952474287,45.8512727096753,0.7544020202020202,0.9132585858585859,0.8738363946008791,0.08625318525056112
F10,GWO,previous_best_seeded,27,44.45889524316938,86.63017329494146,0.4491050505050505,0.8316080808080808,0.4945991658287538,0.08269225922494013
F10,GWO,previous_best_seeded,28,29.948405100084354,58.65868555060326,0.6636343434343434,0.8854161616161615,0.7921892700882939,0.08099968852223055
F10,GWO,previous_best_seeded,29,32.83952308484617,57.93337060288828,0.7331040816326531,0.8990816326530612,0.8674231529109109,0.08431045656627192
F10,GWO,previous_best_seeded,30,34.678786726387706,64.91276905896784,0.5737050505050505,0.8376666666666667,0.6653640038852453,0.07814831318574887
F10,GWO,previous_best_seeded,31,64.16691283739998,156.12010013948253,0.18745510204081633,0.5960816326530612,0.21101686479043058,0.08104751545465194
F10,PSO,cold_restart,1,97.81742845578447,385.9559887461992,0.02812929292929293,0.43252929292929293,0.09379174292460972,0.14032438242652845
F10,PSO,cold_restart,2,102.94982179119815,382.99442071018194,0.036903030303030306,0.4217313131313131,0.08634721619069505,0.14073284191082544
F10,PSO,cold_restart,3,104.6748399556512,384.0114343471076,0.023422222222222223,0.409979797979798,0.08241214002036064,0.13839762750553194
F10,PSO,cold_restart,4,108.55357789873717,416.09115572367244,0.03681818181818182,0.37849292929292927,0.08453591500815227,0.13697988662835298
F10,PSO,cold_restart,5,100.23737139872517,391.00263146306963,0.031424242424242424,0.3900828282828283,0.08591757137540809,0.13646678636225923
