part,mode,system,alg,trial,step,P,Nc,Q_scale,J_star,J_alg,signed_gap,abs_gap,norm_gap,below_ref,control_error,time_ms,nfe,iters,mean_metric_rmse,nrmse,Nsim
single_step,tuned,flight,WOA,32,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617117739410694,4.995236941793268e-07,4.995236941793268e-07,4.995236941793268e-07,False,0.0026109989117576,4.818646993953735,630.0,21.0,,,
single_step,tuned,flight,WOA,33,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02616792873310153,3.7481846995868207e-06,3.7481846995868207e-06,3.7481846995868207e-06,False,0.010225329912743596,4.896529993857257,630.0,21.0,,,
single_step,tuned,flight,WOA,34,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617163918005142,3.7737749696009626e-08,3.7737749696009626e-08,3.7737749696009626e-08,False,0.0005936233588110715,4.758975992444903,630.0,21.0,,,
single_step,tuned,flight,WOA,35,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617165367612346,2.3241677658825122e-08,2.3241677658825122e-08,2.3241677658825122e-08,False,0.0007006697766843885,4.710139997769147,630.0,21.0,,,
single_step,tuned,flight,WOA,36,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026137582763661134,3.40941541399839e-05,3.40941541399839e-05,3.40941541399839e-05,False,0.02249462034027732,4.948695001075976,630.0,21.0,,,
single_step,tuned,flight,WOA,37,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171676899800767,1.8000351209579435e-11,1.8000351209579435e-11,1.8000351209579435e-11,False,1.2836184614193787e-05,4.828022996662185,630.0,21.0,,,
single_step,tuned,flight,WOA,38,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171067907133576,6.09010667541876e-07,6.09010667541876e-07,6.09010667541876e-07,False,0.0028839178275215593,4.863927999394946,630.0,21.0,,,
single_step,tuned,flight,WOA,39,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171671412068706,5.50573241164809e-09,5.50573241164809e-09,5.50573241164809e-09,False,0.0002889471868773929,4.893891004030593,630.0,21.0,,,
single_step,tuned,flight,WOA,40,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026167076473714322,4.600444086795552e-06,4.600444086795552e-06,4.600444086795552e-06,False,0.008309185691427818,4.9183279916178435,630.0,21.0,,,
single_step,tuned,flight,WOA,41,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171615692293343,6.122550777476476e-08,6.122550777476476e-08,6.122550777476476e-08,False,0.0009498790017998438,4.807920005987398,630.0,21.0,,,
single_step,tuned,flight,WOA,42,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171549978881634,1.2693891948342695e-07,1.2693891948342695e-07,1.2693891948342695e-07,False,0.001246321449005906,4.881758010014892,630.0,21.0,,,
single_step,tuned,flight,WOA,43,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171360529278213,3.163885229050256e-07,3.163885229050256e-07,3.163885229050256e-07,False,0.0015629249199936174,4.985514999134466,630.0,21.0,,,
single_step,tuned,flight,WOA,44,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026157288355460773,1.4388562340345024e-05,1.4388562340345024e-05,1.4388562340345024e-05,False,0.0122335760200231,4.9407670012442395,630.0,21.0,,,
single_step,tuned,flight,WOA,45,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617159518014397,8.173765714616921e-08,8.173765714616921e-08,8.173765714616921e-08,False,0.0009203296726875275,4.826197997317649,630.0,21.0,,,
single_step,tuned,flight,WOA,46,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617167663390387,2.8389724598953947e-10,2.8389724598953947e-10,2.8389724598953947e-10,False,6.203183107238293e-05,4.847795993555337,630.0,21.0,,,
single_step,tuned,flight,WOA,47,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171602802593584,7.411520753369816e-08,7.411520753369816e-08,7.411520753369816e-08,False,0.0009922252390646936,4.817620996618643,630.0,21.0,,,
single_step,tuned,flight,WOA,48,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.0261713805046896,2.9641311151754057e-07,2.9641311151754057e-07,2.9641311151754057e-07,False,0.0019896383938032623,4.793265004991554,630.0,21.0,,,
single_step,tuned,flight,WOA,49,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170716151714804,9.607660863136802e-07,9.607660863136802e-07,9.607660863136802e-07,False,0.003651464915789691,4.861976995016448,630.0,21.0,,,
closed_loop,tuned,flight,QP,0,,,,,,,,,,,,0.8230954880127683,22.64,,0.018195653502689445,0.018195653502689445,150.0
closed_loop,tuned,flight,"QP[P=20,Nc=1,Qs=0.5]",0,,,,,,,,,,,,0.7365449395729229,21.82,,0.015001855039901216,0.015001855039901216,150.0
closed_loop,tuned,flight,"QP[P=20,Nc=3,Qs=2.0]",0,,,,,,,,,,,,3.851086927461438,133.14,,0.014453112851698414,0.014453112851698414,150.0
closed_loop,tuned,flight,"QP[P=15,Nc=3,Qs=5.0]",0,,,,,,,,,,,,2.2559272657963447,97.25333333333333,,0.014304133367218516,0.014304133367218516,150.0
closed_loop,tuned,flight,SGO,0,,,,,,,,,,,,12.826889960366922,1073.1,,0.014970308659633502,0.014970308659633502,150.0
closed_loop,tuned,flight,SGO,1,,,,,,,,,,,,12.308800999405017,1066.8866666666668,,0.015054521253155737,0.015054521253155737,150.0
closed_loop,tuned,flight,SGO,2,,,,,,,,,,,,12.846115647213688,1099.1933333333334,,0.015078361843022832,0.015078361843022832,150.0
closed_loop,tuned,flight,SGO,3,,,,,,,,,,,,11.937107372990189,1000.8333333333334,,0.015025256543882662,0.015025256543882662,150.0
closed_loop,tuned,flight,SGO,4,,,,,,,,,,,,12.428398440242745,1058.6533333333334,,0.015014870172797148,0.015014870172797148,150.0
closed_loop,tuned,flight,SGO,5,,,,,,,,,,,,12.471862500339435,1082.2333333333333,,0.014951234294778418,0.014951234294778418,150.0
closed_loop,tuned,flight,SGO,6,,,,,,,,,,,,12.242147187353112,1056.5266666666666,,0.015020552417047752,0.015020552417047752,150.0
closed_loop,tuned,flight,SGO,7,,,,,,,,,,,,12.854116054271193,1118.9133333333334,,0.014978109251268735,0.014978109251268735,150.0
closed_loop,tuned,flight,SGO,8,,,,,,,,,,,,12.820189373548297,1111.2133333333334,,0.014950732340186892,0.014950732340186892,150.0
closed_loop,tuned,flight,SGO,9,,,,,,,,,,,,12.587417653703596,1084.9866666666667,,0.015012898563616492,0.015012898563616492,150.0
closed_loop,tuned,flight,SGO,10,,,,,,,,,,,,12.61796442733612,1100.2733333333333,,0.015004820772097204,0.015004820772097204,150.0
closed_loop,tuned,flight,SGO,11,,,,,,,,,,,,13.211890273475243,1141.68,,0.014955181911716714,0.014955181911716714,150.0
closed_loop,tuned,flight,SGO,12,,,,,,,,,,,,12.451771720273731,1078.5466666666666,,0.015022506588237354,0.015022506588237354,150.0
closed_loop,tuned,flight,SGO,13,,,,,,,,,,,,13.294525639309237,1143.3133333333333,,0.014996771168367937,0.014996771168367937,150.0
closed_loop,tuned,flight,SGO,14,,,,,,,,,,,,11.866240059995713,1031.12,,0.015020092312413197,0.015020092312413197,150.0
closed_loop,tuned,flight,SGO,15,,,,,,,,,,,,11.982599059701897,1037.64,,0.014996635203001657,0.014996635203001657,150.0
closed_loop,tuned,flight,SGO,16,,,,,,,,,,,,12.990894987694142,1123.44,,0.015037242325166195,0.015037242325166195,150.0
closed_loop,tuned,flight,SGO,17,,,,,,,,,,,,11.677711952846343,1014.3733333333333,,0.01498002631803342,0.01498002631803342,150.0
closed_loop,tuned,flight,SGO,18,,,,,,,,,,,,12.430017666968828,1077.8733333333332,,0.01499595533999495,0.01499595533999495,150.0
closed_loop,tuned,flight,SGO,19,,,,,,,,,,,,12.597681786962008,1096.7,,0.015016773806409603,0.015016773806409603,150.0
closed_loop,tuned,flight,GWO,0,,,,,,,,,,,,24.457091580261476,810.5333333333333,,0.014222346272915572,0.014222346272915572,150.0
closed_loop,tuned,flight,GWO,1,,,,,,,,,,,,24.475143653786898,814.9333333333333,,0.0145867361389996,0.0145867361389996,150.0
closed_loop,tuned,flight,GWO,2,,,,,,,,,,,,24.537340165503945,816.9333333333333,,0.01458826584779558,0.01458826584779558,150.0
closed_loop,tuned,flight,GWO,3,,,,,,,,,,,,24.67024536599638,806.4,,0.01436730667638055,0.01436730667638055,150.0
closed_loop,tuned,flight,GWO,4,,,,,,,,,,,,24.520412100537214,817.3333333333334,,0.014599574213029317,0.014599574213029317,150.0
