system,k,stratum,alg,budget_fe,n,median_gap,q1,q3,conv_rate,first_ctrl_err_median,time_ms_median,fe_exact
uav,495,High,GWO,500,30,0.0004898113378366078,0.0003393395442093035,0.0012470101126505501,0.1,0.0007129657188890861,9.907016006764024,True
uav,495,High,GWO,1000,30,8.04074501342384e-05,4.570678275403577e-05,0.00016509197261709805,0.6333333333333333,0.00024088117446207302,20.16538500902243,True
uav,495,High,GWO,2000,30,2.3054452621324074e-05,1.0243463386149295e-05,5.02408758319908e-05,0.9666666666666667,0.00016072873686624522,41.27165651880205,True
uav,495,High,GWO,5000,30,6.723553939980833e-06,3.6356682138671614e-06,2.085761261695297e-05,1.0,8.704963418824672e-05,103.59995951876044,True
uav,495,High,PSO,250,30,1.0,1.0,1.0,0.0,0.09331399586401289,1.0808735096361488,True
uav,495,High,PSO,500,30,1.0,1.0,1.0,0.0,0.09331399586401289,2.0843389502260834,True
uav,495,High,PSO,1000,30,0.009126386745753147,0.0039860889764080105,0.02892376091915251,0.0,0.0031236920484414648,4.101587022887543,True
uav,495,High,PSO,2000,30,2.3457033446791101e-07,5.197036710325215e-08,5.560438969814447e-07,1.0,1.4951389858023397e-05,8.13851598650217,True
uav,495,High,PSO,5000,30,6.332564208060792e-16,6.332564208060792e-16,8.443418944081055e-16,1.0,4.051228501713723e-10,20.116316009080037,True
uav,495,High,SGO,250,30,1.0,1.0,1.0,0.0,0.09331399586401289,2.8118945192545652,True
uav,495,High,SGO,500,30,1.0,1.0,1.0,0.0,0.09331399586401289,5.780346487881616,True
uav,495,High,SGO,1000,30,0.45893779840758564,0.16820725954550714,0.6928695102121082,0.0,0.05735480975453017,11.624225473497063,True
uav,495,High,SGO,2000,30,0.21956263782799762,0.06318403707200433,0.4660622096666528,0.0,0.023784861466893268,23.558023502118886,True
uav,495,High,SGO,5000,30,0.21704354952017318,0.06285427786532533,0.44171059515055755,0.03333333333333333,0.023234631957294388,58.99947899160907,True
uav,495,High,WOA,250,30,0.9972953929413465,0.9928361077133316,0.9998784764531681,0.0,0.09331252613740236,1.78293400676921,True
uav,495,High,WOA,500,30,0.9852774707908334,0.9836266245733236,0.9867375063966881,0.0,0.09324646474198595,3.6563375033438206,True
uav,495,High,WOA,1000,30,0.9852020539807721,0.9840464870161261,0.9859322847812477,0.0,0.09325031759436228,7.315810536965728,True
uav,495,High,WOA,2000,30,0.9853564457520982,0.9831388051891959,0.9857669684897771,0.0,0.09325759198417431,14.994408498751,True
uav,495,High,WOA,5000,30,0.9847545544385621,0.3009330257391642,0.9856081071058189,0.0,0.09322728494062206,37.5108259904664,True
uav,497,High,GWO,250,30,0.06000545062876846,0.01878971454121415,0.2634081664424707,0.0,0.010926557667627838,4.4902895169798285,True
uav,497,High,GWO,500,30,0.0011490981315388045,0.0008059020511566256,0.002300802980963637,0.0,0.0014591263154830167,9.571371512720361,True
uav,497,High,GWO,1000,30,0.0006031979934348638,0.00023217433080860206,0.0008945245745690224,0.03333333333333333,0.0007832447542322657,19.79296500212513,True
uav,497,High,GWO,2000,30,0.0001505527423929417,8.294688287132326e-05,0.00028368726954294045,0.3,0.00041602167255844994,40.26968852849677,True
uav,497,High,GWO,5000,30,5.051590717997031e-05,1.336566673590808e-05,0.00020585268495563273,0.5666666666666667,0.0002686347431839017,101.56541201286018,True
uav,497,High,PSO,250,30,1.0,1.0,1.0,0.0,0.09062433164556478,1.0505420214030892,True
uav,497,High,PSO,500,30,1.0,0.7839581358110616,1.0,0.0,0.09062433164556478,1.9912110292352736,True
uav,497,High,PSO,1000,30,0.015371386496819343,0.004677040800511689,0.03414153137703538,0.0,0.005043133496916674,3.978538006776944,True
uav,497,High,PSO,2000,30,1.9450434955369707e-07,4.282851424157352e-08,9.038437763819037e-07,1.0,1.5250458351610553e-05,7.932666485430673,True
uav,497,High,PSO,5000,30,2.984621614217763e-16,2.984621614217763e-16,4.476932421326644e-16,1.0,4.711641386585457e-10,19.95618749060668,True
uav,497,High,SGO,250,30,1.0,1.0,1.0,0.0,0.09062433164556478,2.7387425070628524,True
uav,497,High,SGO,500,30,1.0,0.9324499526507467,1.0,0.0,0.09062433164556478,5.617974471533671,True
uav,497,High,SGO,1000,30,0.116655161938713,0.041024852242574,0.25250518480609946,0.0,0.02721046033766944,11.226500006159768,True
