lambda_min,lambda_max,cond_H,J_lbfgsb,lbfgsb_multistart_spread,lbfgsb_success,osqp_status,J_osqp,osqp_iterations,osqp_primal_residual,osqp_dual_residual,obj_abs_diff,obj_rel_diff,sol_inf_diff,osqp_minus_lbfgsb,proj_grad_norm,subopt_bound_abs,n_free,n_active,subopt_bound_norm,reference_solver,J_reference,system,Nc,P,dim,step,role
0.20028676612631413,0.4045958473666307,2.020082780264502,-146.69080337523718,2.7824853532365523e-11,True,solved,-146.69080337523718,75,,,0.0,0.0,1.7139671992794092e-07,0.0,5.551115123125783e-17,7.692689763327115e-33,1,4,5.244152725545516e-35,OSQP,-146.69080337523718,pendcart,5,20,5,135,near_settled
0.20026829155587844,0.46099988965599725,2.3019115311490537,-359.7940132068219,2.9393731892923824e-10,True,solved,-359.7940132068219,100,,,0.0,0.0,1.5966607369577446e-08,0.0,2.220446049250313e-16,1.2309439051302985e-31,1,7,3.421246212962165e-34,OSQP,-359.7940132068219,pendcart,8,20,8,0,k0
0.20026829155587844,0.46099988965599725,2.3019115311490537,-343.7509784504069,3.376499080331996e-11,True,solved,-343.7509784504072,75,,,3.410605131648481e-13,9.921732141747287e-16,1.6099834702076876e-06,-3.410605131648481e-13,0.0,0.0,1,7,0.0,OSQP,-343.7509784504072,pendcart,8,20,8,7,early_transient
0.20026829155587844,0.46099988965599725,2.3019115311490537,-323.60351690186667,8.71978045324795e-11,True,solved,-323.6035169018666,100,,,5.684341886080802e-14,1.756576053468723e-16,7.064626483810343e-08,5.684341886080802e-14,1.793984472087118e-08,8.035171871408583e-16,1,7,2.483029834884416e-18,L-BFGS-B,-323.60351690186667,pendcart,8,20,8,75,mid_trajectory
0.20026829155587844,0.46099988965599725,2.3019115311490537,-318.19796825091527,7.5203843152849e-11,True,solved,-318.19796825091555,100,,,2.8421709430404007e-13,8.932083880558297e-16,1.6646468865566533e-06,-2.8421709430404007e-13,5.551115123125783e-17,7.693399407064366e-33,1,7,2.417802806647e-35,OSQP,-318.19796825091555,pendcart,8,20,8,12,high_drift_phase1
0.20026829155587844,0.46099988965599725,2.3019115311490537,-323.8353417028524,8.753886504564434e-12,True,solved,-323.8353417028524,100,,,0.0,0.0,1.5849827494918145e-07,0.0,0.0,0.0,1,7,0.0,OSQP,-323.8353417028524,pendcart,8,20,8,135,near_settled
0.11920134987966657,954.5075242631683,8007.522777441203,-3404.760030526873,0.0,True,solved,-3404.760030526873,75,,,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,OSQP,-3404.760030526873,cstr,1,20,2,0,k0
0.11920134987966657,954.5075242631683,8007.522777441203,-8.01266853205643,3.552713678800501e-15,True,solved,-8.01266853205644,75,,,8.881784197001252e-15,1.1084676923134577e-15,5.056090726651696e-09,-8.881784197001252e-15,1.4210854715202004e-14,8.470893657682792e-28,1,1,1.0571875803664064e-28,OSQP,-8.01266853205644,cstr,1,20,2,5,early_transient
0.11920134987966657,954.5075242631683,8007.522777441203,-1.326946659101464e-11,1.289528123401018e-11,True,solved,-1.3339427898867642e-11,25,,,6.99613078530021e-14,6.99613078530021e-14,9.853460339967089e-07,-6.99613078530021e-14,3.875655030864127e-14,6.3005586486334976e-27,2,0,6.3005586486334976e-27,OSQP,-1.3339427898867642e-11,cstr,1,20,2,50,mid_trajectory
0.11920134987966657,954.5075242631683,8007.522777441203,-11.547357019715943,3.552713678800501e-15,True,solved,-11.547357019715953,75,,,1.0658141036401503e-14,9.22993981930567e-16,5.031817879030953e-09,-1.0658141036401503e-14,2.842170943040401e-14,3.388357463073117e-27,1,1,2.9343142827296643e-28,OSQP,-11.547357019715953,cstr,1,20,2,4,high_drift_phase1
