system,alg,NP,maxIter_derived,fe_budget,seed,trial,nrmse,mean_nfe_per_step,mean_time_ms,P,Nc,Q_scale,ic
flight,SGO,8,255,1000,10000000,0,0.021356881763621133,1000.0,13.056610498266915,20,1,1.0,tune
flight,SGO,8,255,1000,10000001,1,0.021361126703210855,1000.0,12.93268146556026,20,1,1.0,tune
flight,SGO,8,255,1000,10000002,2,0.021185967453085614,1000.0,12.86487607304783,20,1,1.0,tune
flight,SGO,10,205,1000,10010000,0,0.02130021522389258,1000.0,12.537532494752668,20,1,1.0,tune
flight,SGO,10,205,1000,10010001,1,0.02132636463035814,1000.0,12.691626693704166,20,1,1.0,tune
flight,SGO,10,205,1000,10010002,2,0.021361542043778173,1000.0,12.500150954389634,20,1,1.0,tune
flight,SGO,14,148,1000,10020000,0,0.0213052940390318,1000.0,12.049591947579756,20,1,1.0,tune
flight,SGO,14,148,1000,10020001,1,0.021339128606172878,1000.0,12.066952013410628,20,1,1.0,tune
flight,SGO,14,148,1000,10020002,2,0.021352074106502607,1000.0,12.00249734063012,20,1,1.0,tune
flight,SGO,20,105,1000,10030000,0,0.021396682250192728,1000.0,11.806460439305132,20,1,1.0,tune
flight,SGO,20,105,1000,10030001,1,0.021356022873175774,1000.0,11.664105312471898,20,1,1.0,tune
flight,SGO,20,105,1000,10030002,2,0.021330201128843623,1000.0,11.731030907443104,20,1,1.0,tune
flight,SGO,30,72,1000,10040000,0,0.021299651311890086,1000.0,11.264264940594634,20,1,1.0,tune
flight,SGO,30,72,1000,10040001,1,0.02131430117820848,1000.0,11.255591026662538,20,1,1.0,tune
flight,SGO,30,72,1000,10040002,2,0.021365074758202443,1000.0,12.46003998676315,20,1,1.0,tune
flight,GWO,8,130,1000,10001000,0,0.021355972982545362,1000.0,13.174683679826558,20,1,1.0,tune
flight,GWO,8,130,1000,10001001,1,0.02136079421032373,1000.0,13.168470818200149,20,1,1.0,tune
flight,GWO,8,130,1000,10001002,2,0.02135922242144217,1000.0,13.25989735351565,20,1,1.0,tune
flight,GWO,10,105,1000,10011000,0,0.021360697752331827,1000.0,13.08418239428041,20,1,1.0,tune
flight,GWO,10,105,1000,10011001,1,0.021355453630652096,1000.0,13.344239628640935,20,1,1.0,tune
flight,GWO,10,105,1000,10011002,2,0.021361398763289165,1000.0,13.304829031888707,20,1,1.0,tune
flight,GWO,14,77,1000,10021000,0,0.021350310359794924,1000.0,13.232323126479363,20,1,1.0,tune
flight,GWO,14,77,1000,10021001,1,0.021350091083169574,1000.0,13.422384557585852,20,1,1.0,tune
flight,GWO,14,77,1000,10021002,2,0.0213666341051972,1000.0,13.514483520023836,20,1,1.0,tune
flight,GWO,20,55,1000,10031000,0,0.0213872081553436,1000.0,13.416329173487611,20,1,1.0,tune
flight,GWO,20,55,1000,10031001,1,0.02133611062706643,1000.0,13.472306268716542,20,1,1.0,tune
flight,GWO,20,55,1000,10031002,2,0.0213581311222261,1000.0,13.257193046350343,20,1,1.0,tune
flight,GWO,30,39,1000,10041000,0,0.02136222661684616,1000.0,12.987803034096336,20,1,1.0,tune
flight,GWO,30,39,1000,10041001,1,0.0213562910950624,1000.0,13.302520153423151,20,1,1.0,tune
flight,GWO,30,39,1000,10041002,2,0.02133221737884146,1000.0,13.03274498010675,20,1,1.0,tune
flight,PSO,8,130,1000,10002000,0,0.02135738827067436,1000.0,4.356823345685068,20,1,1.0,tune
flight,PSO,8,130,1000,10002001,1,0.021357384872252486,1000.0,4.358353553689085,20,1,1.0,tune
flight,PSO,8,130,1000,10002002,2,0.021558537763326516,1000.0,4.335032946934613,20,1,1.0,tune
flight,PSO,10,105,1000,10012000,0,0.021357454511464605,1000.0,4.104225553067711,20,1,1.0,tune
flight,PSO,10,105,1000,10012001,1,0.02135722765763383,1000.0,4.214135579143961,20,1,1.0,tune
flight,PSO,10,105,1000,10012002,2,0.02135715913549406,1000.0,4.268329632856573,20,1,1.0,tune
flight,PSO,14,77,1000,10022000,0,0.02135808826637877,1000.0,3.8775882815631726,20,1,1.0,tune
flight,PSO,14,77,1000,10022001,1,0.02135769672884585,1000.0,3.89949857412527,20,1,1.0,tune
flight,PSO,14,77,1000,10022002,2,0.02135531924364051,1000.0,3.9300611875175187,20,1,1.0,tune
flight,PSO,20,55,1000,10032000,0,0.02135936931261754,1000.0,3.6793589853914455,20,1,1.0,tune
flight,PSO,20,55,1000,10032001,1,0.02155491490967467,1000.0,3.720184840494767,20,1,1.0,tune
flight,PSO,20,55,1000,10032002,2,0.021361091621925513,1000.0,3.61559261160437,20,1,1.0,tune
flight,PSO,30,39,1000,10042000,0,0.02135332154002512,1000.0,3.4824244608171284,20,1,1.0,tune
flight,PSO,30,39,1000,10042001,1,0.021348427855343948,1000.0,3.520534687753146,20,1,1.0,tune
flight,PSO,30,39,1000,10042002,2,0.021347005732682455,1000.0,3.5286060322929793,20,1,1.0,tune
flight,WOA,8,130,1000,10003000,0,0.02134981192460142,1000.0,7.75400228643169,20,1,1.0,tune
flight,WOA,8,130,1000,10003001,1,0.021346044347475862,1000.0,7.703720326535404,20,1,1.0,tune
flight,WOA,8,130,1000,10003002,2,0.021349338686643293,1000.0,7.864066333277151,20,1,1.0,tune
flight,WOA,10,105,1000,10013000,0,0.02113442627213255,1000.0,7.75893363985233,20,1,1.0,tune
flight,WOA,10,105,1000,10013001,1,0.021353435435966593,1000.0,7.533997866363886,20,1,1.0,tune
flight,WOA,10,105,1000,10013002,2,0.021358822924910655,1000.0,7.537721927122523,20,1,1.0,tune
flight,WOA,14,77,1000,10023000,0,0.021351063289111377,1000.0,7.462172854187277,20,1,1.0,tune
flight,WOA,14,77,1000,10023001,1,0.021363421923494958,1000.0,7.4370882580600055,20,1,1.0,tune
