system,condition,alg,trial,seed,nrmse,reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
uav,process_disturbance,GWO,7,17011007,0.006373747609626783,0.006728507719622423,1000.0,True,21.57953323883703
uav,process_disturbance,GWO,8,17011008,0.00702152785038944,0.006728507719622423,1000.0,True,21.242333685513586
uav,process_disturbance,GWO,9,17011009,0.0064060120181749225,0.006728507719622423,1000.0,True,20.972244201984722
uav,process_disturbance,PSO,0,17012000,0.009079405348478198,0.006728507719622423,1000.0,True,4.177559658855898
uav,process_disturbance,PSO,1,17012001,0.008953852289572031,0.006728507719622423,1000.0,True,4.163254550949205
uav,process_disturbance,PSO,2,17012002,0.006555311547228625,0.006728507719622423,1000.0,True,4.2068913477123715
uav,process_disturbance,PSO,3,17012003,0.019024816825744015,0.006728507719622423,1000.0,True,4.360577634215588
uav,process_disturbance,PSO,4,17012004,0.007076678534329584,0.006728507719622423,1000.0,True,4.206575368589256
uav,process_disturbance,PSO,5,17012005,0.006196948286189455,0.006728507719622423,1000.0,True,4.165427526313579
uav,process_disturbance,PSO,6,17012006,0.012731316368270304,0.006728507719622423,1000.0,True,4.149893416033592
uav,process_disturbance,PSO,7,17012007,0.0064591152166476725,0.006728507719622423,1000.0,True,4.20065322163282
uav,process_disturbance,PSO,8,17012008,0.006672931948135732,0.006728507719622423,1000.0,True,4.234655888139969
uav,process_disturbance,PSO,9,17012009,0.0078073847822049515,0.006728507719622423,1000.0,True,4.203860512789106
uav,process_disturbance,WOA,0,17013000,0.006958517375450529,0.006728507719622423,1000.0,True,7.501626425655559
uav,process_disturbance,WOA,1,17013001,0.00681058075700047,0.006728507719622423,1000.0,True,7.508811574371066
uav,process_disturbance,WOA,2,17013002,0.00716215115485614,0.006728507719622423,1000.0,True,7.51230514535564
uav,process_disturbance,WOA,3,17013003,0.00758376033730834,0.006728507719622423,1000.0,True,7.525153806054732
uav,process_disturbance,WOA,4,17013004,0.0062734978076826224,0.006728507719622423,1000.0,True,7.523392006842187
uav,process_disturbance,WOA,5,17013005,0.007312978931959151,0.006728507719622423,1000.0,True,7.536252493446227
uav,process_disturbance,WOA,6,17013006,0.007720100492292758,0.006728507719622423,1000.0,True,7.878375095460797
uav,process_disturbance,WOA,7,17013007,0.006998459662808762,0.006728507719622423,1000.0,True,7.611968266428448
