system,Nc,dim,role,k,alg,NP,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,lambda_min,lambda_max,cond_H,n_active_reference,realized_fe,fe_exact,time_ms
cstr,5,10,mid_trajectory,50,WOA,10,13,16503013,-1.389067642408316e-11,-1.8642252453221714e-12,1.2026451178760988e-11,True,1.1647460931176554e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.812888012267649
cstr,5,10,mid_trajectory,50,WOA,10,14,16503014,-1.389067642408316e-11,-1.9146277551283827e-12,1.1976048668954776e-11,True,1.1646584188357028e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.768824987579137
cstr,5,10,mid_trajectory,50,WOA,10,15,16503015,-1.389067642408316e-11,-1.864028589737337e-12,1.2026647834345822e-11,True,1.1648769615291587e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.856498006731272
cstr,5,10,mid_trajectory,50,WOA,10,16,16503016,-1.389067642408316e-11,-2.0179528100693854e-12,1.1872723614013774e-11,True,1.1649487740812195e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.8321960172615945
cstr,5,10,mid_trajectory,50,WOA,10,17,16503017,-1.389067642408316e-11,-1.8898622066916394e-12,1.200081421739152e-11,True,1.1647387281094473e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.8779300092719495
cstr,5,10,mid_trajectory,50,WOA,10,18,16503018,-1.389067642408316e-11,-1.5258112600538846e-12,1.2364865164029274e-11,True,1.1649404709247162e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.918893999885768
cstr,5,10,mid_trajectory,50,WOA,10,19,16503019,-1.389067642408316e-11,-1.8294889612172888e-12,1.206118746286587e-11,True,1.165178900409366e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.8042009845376015
cstr,5,10,near_settled,90,SGO,30,0,16500000,-1.3796101170564074e-11,0.0,1.3796101170564074e-11,True,1.1621834393300004e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,11.81741594336927
cstr,5,10,near_settled,90,SGO,30,1,16500001,-1.3796101170564074e-11,0.0,1.3796101170564074e-11,True,1.1621834393300004e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,11.567567999009043
cstr,5,10,near_settled,90,SGO,30,2,16500002,-1.3796101170564074e-11,0.0,1.3796101170564074e-11,True,1.1621834393300004e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,11.374644993338734
cstr,5,10,near_settled,90,SGO,30,3,16500003,-1.3796101170564074e-11,0.0,1.3796101170564074e-11,True,1.1621834393300004e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,11.768124997615814
cstr,5,10,near_settled,90,SGO,30,4,16500004,-1.3796101170564074e-11,0.0,1.3796101170564074e-11,True,1.1621834393300004e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,11.803222994785756
